BLOSUM62+f	-5067.26962
BLOSUM62+f+G	-4973.30524
BLOSUM62	-5094.07482
BLOSUM62+G	-4999.80079
DAYHOFF+f	-5018.75963
DAYHOFF+f+G	-4917.85541
DAYHOFF	-5068.45970
DAYHOFF+G	-4967.90403
JTT+f	-4862.84948
JTT+f+G	-4775.99427
JTT	-4901.87659
JTT+G	-4813.71918
LG+f	-5004.89762
LG+f+G	-4910.45020
LG	-5038.99586
LG+G	-4943.70212
MTMAM+f	-4999.80880
MTMAM+f+G	-4867.37412
MTMAM	-5329.07459
MTMAM+G	-5137.38628
WAG+f	-4957.48489
WAG+f+G	-4868.11208
WAG	-4995.38687
WAG+G	-4907.48268
